category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Accessibility,Add alt text to all images,Descriptive alt text for content images,"<img alt=""Team collaborating around whiteboard in modern office"">",Empty or missing alt text on content images,"<img src=""team.jpg""> /* no alt text */",HIGH
Accessibility,Use ARIA labels for icon buttons,Screen reader accessible icon-only buttons,"<button aria-label=""Close dialog""><svg>...</svg></button>",Icon buttons with no accessible name,"<button><svg>...</svg></button> /* no label */",HIGH
Performance,Lazy load below-fold images,Load images only when approaching viewport,"<img loading=""lazy"" src=""image.jpg"" alt=""..."">",Loading all images on page load,"<img src=""heavy-image.jpg""> /* loads immediately */",HIGH
Performance,Use responsive images,Serve appropriate image sizes,"<img srcset=""small.jpg 400w large.jpg 800w"" sizes=""(max-width: 600px) 400px 800px"">",Single large image for all viewports,"<img src=""hero-4k.jpg""> /* 4MB image on mobile */",HIGH
Performance,Minimize layout shifts,Reserve space for dynamic content,"<img width=""800"" height=""600""> or aspect-ratio: 16/9;",Content jumping as images/ads load,"/* no width/height set images cause layout shift */",HIGH
Performance,Use system fonts as fallback,Font display swap with system fallback,"font-display: swap; font-family: 'Custom' system-ui sans-serif;",Flash of invisible text while fonts load,"font-display: block; /* invisible text until font loads */",MEDIUM
Performance,Preload critical assets,Preload fonts and hero images,"<link rel=""preload"" href=""font.woff2"" as=""font"" crossorigin>",No preloading causing render delay,"/* no preload critical assets load late */",MEDIUM
Buttons,Use clear button hierarchy,Primary secondary and ghost button styles,"Primary: solid bg + white text. Secondary: outline. Ghost: text only",All buttons look the same no hierarchy,"/* all buttons same style no visual priority */",HIGH
Buttons,Minimum 44px touch target,Adequate size for touch interaction,"min-height: 44px; min-width: 44px; padding: 12px 24px;",Small buttons hard to tap on mobile,"padding: 4px 8px; font-size: 12px; /* too small for touch */",HIGH
Buttons,Show loading state on submit,Loading indicator during async operations,"<button disabled><Spinner /> Submitting...</button>",No feedback after clicking submit,"/* no loading state user clicks multiple times */",HIGH
Buttons,Use descriptive button text,Action-specific labels,"<button>Create Account</button> <button>Download Report</button>",Generic text like Click Here or Submit,"<button>Submit</button> <button>Click Here</button>",MEDIUM
Layout,Use consistent spacing scale,8px base spacing system,"gap: 8px 16px 24px 32px 48px 64px; /* 8px scale */",Random spacing values throughout,"margin: 13px 27px 9px; /* inconsistent */",HIGH
Layout,Limit content width for readability,Max 65-75 characters per line,"max-width: 65ch; or max-width: 680px for text content",Full-width text paragraphs,"width: 100%; /* text spans full viewport hard to read */",HIGH
Layout,Use responsive breakpoints,Mobile-first responsive design,"@media (min-width: 640px) {} @media (min-width: 768px) {} @media (min-width: 1024px) {}",Fixed width layouts that break on mobile,"width: 1200px; /* breaks on smaller screens */",HIGH
Layout,Maintain visual hierarchy,Size contrast and spacing to show importance,"h1: 48px h2: 36px h3: 24px body: 16px with proportional spacing",Everything same size and weight,"/* all text 16px no visual hierarchy */",HIGH
Typography,Use relative font sizes,Rem or em for accessible scaling,"font-size: 1rem; /* respects user font size settings */",Fixed pixel sizes that don't scale,"font-size: 14px; /* ignores user preferences */",MEDIUM
Typography,Set proper line height,1.5-1.75 for body text 1.1-1.3 for headings,"body { line-height: 1.6; } h1 { line-height: 1.2; }",Cramped or too loose line height,"line-height: 1; /* cramped text */ or line-height: 3; /* too loose */",MEDIUM
Color,Never use color alone to convey info,Add icons patterns or text alongside color,"<span class=""error""><Icon /> Error: required field</span>",Red/green only status indicators,"color: red; /* only indicator for colorblind users */",HIGH
Color,Use consistent color system,Defined palette with semantic meaning,"--success: #22c55e; --error: #ef4444; --warning: #f59e0b;",Random colors without system,"color: #ff0000; then color: #cc3333; /* inconsistent reds */",MEDIUM
Modals,Allow closing modals with escape key,Keyboard dismissal support,"dialog.addEventListener('keydown' e => { if (e.key === 'Escape') close(); });",Trap users in modals,"/* no escape key handler no close button */",HIGH
Modals,Trap focus inside open modals,Focus stays within modal while open,"Use inert attribute on background or manual focus trapping",Focus escaping to background elements,"/* focus can leave modal to hidden background */",HIGH
Loading,Show skeleton screens not spinners,Content-shaped placeholders during load,"<div class=""skeleton"" style=""height: 20px; border-radius: 4px; background: #e2e8f0; animation: pulse"">",Blank page or full-screen spinner,"<div class=""spinner"">Loading...</div> /* no content preview */",MEDIUM
Loading,Show progress for long operations,Progress bar or step indicator,"<progress value=""60"" max=""100""></progress>",Infinite spinner with no progress indication,"<div class=""spinner""></div> /* how long will this take? */",MEDIUM
Mobile,Design touch-first for mobile,Generous spacing swipe gestures,"padding: 16px; gap: 12px; /* adequate touch spacing */",Desktop hover-dependent interactions on mobile,"/* hover tooltips as only way to see info on mobile */",HIGH
Mobile,Stack content vertically on mobile,Single column mobile layout,"@media (max-width: 640px) { flex-direction: column; }",Horizontal scroll on mobile,"/* 3 column grid on mobile causes horizontal scroll */",HIGH
Feedback,Provide immediate feedback for actions,Toast notifications or inline confirmations,"<div role=""status"" class=""toast"">Changes saved!</div>",No confirmation after user action,"/* user clicks save... nothing happens visible */",HIGH
Feedback,Use appropriate feedback severity,Match visual treatment to message importance,"Success: green. Warning: amber. Error: red. Info: blue.",Same style for all notifications,"/* errors and success look the same */",MEDIUM
